id	name	city	lat	lon
87	Folsom St at 13th St	SF	37.769757	-122.415674
88	11th St at Bryant St	SF	37.7700298	-122.4117258
89	Division St at Potrero Ave	SF	37.76921786	-122.4076456
90	Townsend St at 7th St	SF	37.771058	-122.402717
91	Berry St at King St	SF	37.77176211	-122.3984376
92	Mission Bay Kids Park	SF	37.77230063	-122.3930275
93	4th St at Mission Bay Blvd S	SF	37.7704074	-122.3911984
95	Sanchez St at 15th St	SF	37.7662185	-122.4310597
96	Dolores St at 15th St	SF	37.7662102	-122.4266136
97	14th St at Mission St	SF	37.7682646	-122.4201102
98	Valencia St at 16th St	SF	37.765052	-122.4218661
99	Folsom St at 15th St	SF	37.7670373	-122.4154425
100	Bryant St at 15th St	SF	37.7671004	-122.410662
101	San Bruno Ave at 16th St	SF	37.76600774	-122.4056768
102	Irwin St at 8th St	SF	37.7668828	-122.3995794
104	4th St at 16th St	SF	37.76704458	-122.3908335
105	16th St at Prosper St	SF	37.764285	-122.4318042
106	Sanchez St at 17th St	SF	37.7632417	-122.4306746
107	17th St at Dolores St	SF	37.7630152	-122.4264968
108	16th St Mission BART	SF	37.76471009	-122.4199569
109	17th St at Valencia St	SF	37.7633158	-122.4219039
110	17th & Folsom Street Park (17th St at Folsom St)	SF	37.7637085	-122.4152042
112	Harrison St at 17th St	SF	37.7638471	-122.4130036
113	Franklin Square	SF	37.764555	-122.410345
114	Rhode Island St at 17th St	SF	37.7644783	-122.4025701
115	Jackson Playground	SF	37.7650259	-122.3987734
116	Mississippi St at 17th St	SF	37.7648022	-122.3947713
118	Eureka Valley Recreation Center	SF	37.7591769	-122.4369431
119	18th St at Noe St	SF	37.7610471	-122.4326417
120	Mission Dolores Park	SF	37.7614205	-122.4264353
121	Mission Playground	SF	37.7592103	-122.4213392
122	19th St at Mission St	SF	37.760299	-122.418892
123	Folsom St at 19th St	SF	37.7605936	-122.4148171
124	19th St at Florida St	SF	37.7604469	-122.410807
125	20th St at Bryant St	SF	37.7592005	-122.409851
126	Esprit Park	SF	37.7616343	-122.3906477
127	Valencia St at 21st St	SF	37.7567083	-122.421025
129	Harrison St at 20th St	SF	37.758862	-122.412544
130	22nd St Caltrain Station	SF	37.75736899	-122.3920566
132	24th St at Chattanooga St	SF	37.7518194	-122.4266139
133	Valencia St at 22nd St	SF	37.7552126	-122.4209752
134	Valencia St at 24th St	SF	37.7524278	-122.4206278
137	Jersey St at Castro St	SF	37.750506	-122.4339496
138	Jersey St at Church St	SF	37.7509004	-122.4274114
139	Garfield Square (25th St at Harrison St)	SF	37.7510171	-122.4119009
140	Cesar Chavez St at Dolores St	SF	37.7478584	-122.4249863
141	Valencia St at Cesar Chavez St	SF	37.7479981	-122.4202187
144	Precita Park	SF	37.7472996	-122.4114029
145	29th St at Church St	SF	37.7436839	-122.4268059
146	30th St at San Jose Ave	SF	37.7423139	-122.4231805
147	29th St at Tiffany Ave	SF	37.7440667	-122.4214722
148	Horton St at 40th St	Emeryville	37.8297046	-122.2876102
149	Emeryville Town Hall	Emeryville	37.8312752	-122.2856333
150	Adeline St at 40th St	Emeryville	37.8312769	-122.2782669
151	53rd St at Hollis St	Emeryville	37.8361823	-122.2871801
152	47th St at San Pablo Ave	Emeryville	37.8356322	-122.2810507
153	59th St at Horton St	Emeryville	37.8409452	-122.2913604
154	Doyle St at 59th St	Emeryville	37.8419238	-122.2880451
155	Emeryville Public Market	Emeryville	37.84052117	-122.2935283
156	Stanford Ave at Hollis St	Emeryville	37.8384435	-122.2886647
157	65th St at Hollis St	Emeryville	37.8467842	-122.2913761
158	Shattuck Ave at Telegraph Ave	Oakland	37.8332786	-122.2634901
159	24th St at Market St	Oakland	37.8160598	-122.2782444
160	West Oakland BART Station	Oakland	37.8053183	-122.2948365
162	Franklin St at 9th St	Oakland	37.8005161	-122.2720799
163	Lake Merritt BART Station	Oakland	37.7973195	-122.2653199
164	Isabella St at San Pablo Ave	Oakland	37.81498823	-122.2748441
166	College Ave at Alcatraz Ave	Berkeley	37.8513755	-122.2525233
167	College Ave at Harwood Ave	Oakland	37.848152	-122.2521599
168	Alcatraz Ave at Shattuck Ave	Berkeley	37.84959497	-122.265569
169	Bushrod Park	Berkeley	37.8465156	-122.2653043
170	Telegraph Ave at 58th St	Oakland	37.8444927	-122.261351
171	Rockridge BART Station	Oakland	37.84427875	-122.2519004
172	College Ave at Taft Ave	Oakland	37.8417999	-122.2515349
173	Shattuck Ave at 55th St	Oakland	37.8403643	-122.2644881
174	Shattuck Ave at 51st St	Oakland	37.8368013	-122.2640037
175	49th St at Telegraph Ave	Oakland	37.8359455	-122.2623663
176	MacArthur BART Station	Oakland	37.82840997	-122.2663146
177	MacArthur Blvd at Telegraph Ave	Oakland	37.8262863	-122.2651002
178	Broadway at 30th St	Oakland	37.8193814	-122.2619284
179	Telegraph Ave at 27th St	Oakland	37.81607312	-122.2678864
180	Telegraph Ave at 23rd St	Oakland	37.8126783	-122.2687726
181	Grand Ave at Webster St	Oakland	37.8113768	-122.2651925
182	19th Street BART Station	Oakland	37.8090126	-122.2682473
183	Telegraph Ave at 19th St	Oakland	37.8087021	-122.2699271
186	Lakeside Dr at 14th St	Oakland	37.8013189	-122.2626418
187	Jack London Square	Oakland	37.796248	-122.279352
188	Dover St at 57th St	Oakland	37.8426295	-122.267738
189	Genoa St at 55th St	Oakland	37.8396488	-122.2717561
190	West St at 40th St	Oakland	37.8302232	-122.2709501
191	Market St at 40th St	Oakland	37.8305452	-122.2739367
192	37th St at West St	Emeryville	37.8266962	-122.2717955
193	Grand Ave at Santa Clara Ave	Oakland	37.8127441	-122.2472152
194	Lakeshore Ave at Trestle Glen Rd	Oakland	37.8110807	-122.2432677
195	Bay Pl at Vernon St	Oakland	37.81231409	-122.2607785
196	Grand Ave at Perkins St	Oakland	37.80889393	-122.2564602
197	El Embarcadero at Grand Ave	Oakland	37.8088479	-122.2496799
198	Snow Park	Oakland	37.80781318	-122.2644961
200	2nd Ave at E 18th St	Oakland	37.80021357	-122.2538102
201	10th St at Fallon St	Oakland	37.7976728	-122.2629973
202	Washington St at 8th St	Oakland	37.8007544	-122.2748943
203	Webster St at 2nd St	Oakland	37.79519476	-122.2739697
204	55th St at Telegraph Ave	Oakland	37.8401858	-122.2618225
205	Shafter Ave at Cavour St	Oakland	37.8379469	-122.2572427
206	College Ave at Bryant Ave	Oakland	37.8381269	-122.2512714
207	Broadway at Coronado Ave	Oakland	37.8357883	-122.2516207
208	S. 4th St at San Carlos St	San Jose	37.33283578	-121.8839121
209	45th St at MLK Jr Way	Emeryville	37.8335577	-122.2674183
210	45th St at Manila	Oakland	37.83329352	-122.2562242
211	Broadway at 40th St	Oakland	37.8277573	-122.2567156
212	Mosswood Park	Oakland	37.8249311	-122.2604787
213	32nd St at Adeline St	Oakland	37.8238474	-122.2811926
214	Market St at Brockhurst St	Oakland	37.8233214	-122.2757325
215	34th St at Telegraph Ave	Oakland	37.8225475	-122.2663179
216	San Pablo Ave at 27th St	Oakland	37.8178269	-122.2756976
217	27th St at MLK Jr Way	Oakland	37.8170154	-122.2717615
218	DeFremery Park	Oakland	37.8123315	-122.2851712
219	Marston Campbell Park	Oakland	37.8098236	-122.2801923
220	San Pablo Ave at MLK Jr Way	Oakland	37.8113514	-122.2734217
221	12th St at 6th Ave	Oakland	37.7943532	-122.2538745
222	10th Ave at E 15th St	Oakland	37.7927143	-122.2487796
223	16th St Mission BART Station 2	SF	37.76476522	-122.420091
224	21st Ave at International Blvd	Oakland	37.7851566	-122.2389151
225	23rd Ave at Foothill Blvd	Oakland	37.7851915	-122.2343822
226	26th Ave at International Blvd	Oakland	37.781123	-122.2329915
227	Foothill Blvd at Fruitvale Ave	Oakland	37.7837569	-122.2226033
228	Foothill Blvd at Harrington Ave	Oakland	37.77993	-122.2177284
229	Foothill Blvd at 42nd Ave	Oakland	37.7757452	-122.2130372
230	14th St at Mandela Pkwy	Oakland	37.8107432	-122.2914153
231	14th St at Filbert St	Oakland	37.80874983	-122.2832823
232	MLK Jr Way at 14th St	Oakland	37.8061628	-122.2760402
233	12th St at 4th Ave	Oakland	37.7958125	-122.2555549
234	Fruitvale Ave at International Blvd	Oakland	37.7776818	-122.225771
235	Union St at 10th St	Oakland	37.8072393	-122.2893702
236	Market St at 8th St	Oakland	37.8036865	-122.282497
237	Fruitvale BART Station	Oakland	37.7752321	-122.2244982
238	MLK Jr Way at University Ave	Berkeley	37.8717192	-122.2730677
239	Bancroft Way at Telegraph Ave	Berkeley	37.8688126	-122.258764
240	Haste St at Telegraph Ave	Berkeley	37.8660431	-122.2588044
241	Ashby BART Station	Berkeley	37.8524766	-122.2702132
242	Milvia St at Derby St	Berkeley	37.8601246	-122.2693844
243	Bancroft Way at College Ave	Berkeley	37.8693603	-122.2543374
244	Shattuck Ave at Hearst Ave	Berkeley	37.8737917	-122.2686176
245	Downtown Berkeley BART	Berkeley	37.8703477	-122.2677637
246	Berkeley Civic Center	Berkeley	37.8690599	-122.270556
247	Fulton St at Bancroft Way	Berkeley	37.8677892	-122.2658964
248	Telegraph Ave at Ashby Ave	Berkeley	37.8559558	-122.2597949
249	Russell St at College Ave	Berkeley	37.8584732	-122.2532529
250	North Berkeley BART Station	Berkeley	37.8740141	-122.283019
251	California St at University Ave	Berkeley	37.87055533	-122.2797203
252	Channing Way at Shattuck Ave	Berkeley	37.8658466	-122.2674431
253	Haste St at College Ave	Berkeley	37.86641794	-122.2537994
254	Vine St at Shattuck Ave	Berkeley	37.88022245	-122.2695923
255	Virginia St at Shattuck Ave	Berkeley	37.87657255	-122.2695279
256	Hearst Ave at Euclid Ave	Berkeley	37.87511169	-122.2605532
257	Fifth St at Delaware St	Berkeley	37.87040712	-122.2996759
258	University Ave at Oxford St	Berkeley	37.8723555	-122.2664467
259	Addison St at Fourth St	Berkeley	37.866249	-122.2993708
263	Channing Way at San Pablo Ave	Berkeley	37.8628271	-122.2902305
265	Ninth St at Parker St	Berkeley	37.8588682	-122.2912095
266	Parker St at Fulton St	Berkeley	37.8624644	-122.2647911
267	Derby St at College Ave	Berkeley	37.8618037	-122.2535687
268	Ellsworth St at Russell St	Berkeley	37.85749021	-122.2615778
269	Telegraph Ave at Carleton St	Berkeley	37.8623199	-122.258801
270	Ninth St at Heinz Ave	Berkeley	37.8534894	-122.2894154
271	San Pablo Park	Berkeley	37.85578332	-122.2831267
272	Woolsey St at Sacramento St	Berkeley	37.85057768	-122.2781754
273	Fulton St at Ashby Ave	Berkeley	37.85557366	-122.2635654
274	Oregon St at Adeline St	Berkeley	37.8575672	-122.2675583
275	Julian St at 6th St	San Jose	37.3429973	-121.8888891
276	Julian St at The Alameda	San Jose	37.3322326	-121.9125165
277	Morrison Ave at Julian St	San Jose	37.3336577	-121.9085859
278	The Alameda at Bush St	San Jose	37.3319323	-121.9048882
279	Santa Clara St at 7th St	San Jose	37.3391456	-121.8841054
280	San Fernando at 7th St	San Jose	37.337246	-121.8830739
281	9th St at San Fernando	San Jose	37.3383952	-121.8807965
282	Market St at Park St	San Jose	37.3324263	-121.8903494
283	Delmas Ave and San Fernando St	San Jose	37.3302641	-121.8977018
284	Yerba Buena Center for the Arts (Howard St at 3rd St)	SF	37.78487208	-122.4008757
285	Webster St at O'Farrell St	SF	37.78352084	-122.4311578
286	San Carlos St at 11th St	San Jose	37.3364659	-121.8766132
287	Almaden Blvd at Balbach St	San Jose	37.32673	-121.8892731
288	Mission St at 1st St	San Jose	37.3509643	-121.9020161
289	5th St at Taylor St	San Jose	37.3510173	-121.8959209
290	George St at 1st St	San Jose	37.3477319	-121.899464
291	Autumn Parkway at Coleman Ave	San Jose	37.3413348	-121.9031829
292	Empire St at 1st St	San Jose	37.3448821	-121.8969655
294	Pierce Ave at Market St	San Jose	37.327581	-121.884559
295	William St at 10th St	San Jose	37.3327938	-121.8759263
296	5th St at Virginia St	San Jose	37.3259984	-121.87712
297	Locust St at Grant St	San Jose	37.3229796	-121.8879312
298	Oak St at 1st St	San Jose	37.32212463	-121.8810904
299	Bestor Art Park	San Jose	37.3236779	-121.8741186
300	Palm St at Willow St	San Jose	37.3172979	-121.884995
301	Willow St at Vine St	San Jose	37.3184498	-121.8831724
302	Tamien Station	San Jose	37.31285404	-121.8829411
303	San Pedro St at Hedding St	San Jose	37.352601	-121.905733
304	Jackson St at 5th St	San Jose	37.34875869	-121.8947978
305	Ryland Park	San Jose	37.342725	-121.895617
306	Saint James Park	San Jose	37.339301	-121.889937
307	SAP Center	San Jose	37.332692	-121.900084
308	San Pedro Square	San Jose	37.336802	-121.8940901
309	San Jose City Hall	San Jose	37.337391	-121.886995
310	San Fernando St at 4th St	San Jose	37.335885	-121.88566
311	Paseo De San Antonio at 2nd St	San Jose	37.333798	-121.886943
312	San Jose Diridon Station	San Jose	37.329732	-121.901782
313	Almaden Blvd at San Fernando St	San Jose	37.331415	-121.8932
314	Santa Clara St at Almaden Blvd	San Jose	37.333988	-121.894902
315	Market St at 45th St	Oakland	37.834174	-122.272968
316	San Salvador St at 1st St	San Jose	37.330165	-121.885831
317	San Salvador St at 9th St	San Jose	37.333955	-121.877349
318	San Carlos St at Market St	San Jose	37.330698	-121.888979
321	5th at Folsom	SF	37.7801457	-122.4030709
323	Broadway at Kearny	SF	37.79801364	-122.4059504
324	Union Square (Powell St at Post St)	SF	37.78829998	-122.4085307
327	5th St at San Salvador St	San Jose	37.33203868	-121.8817663
336	Potrero Ave and Mariposa St	SF	37.76328094	-122.4073774
337	Webster St at 19th St	Oakland	37.80696976	-122.2665882
338	13th St at Franklin St	Oakland	37.80318908	-122.2705793
339	Jackson St at 11th St	Oakland	37.80000163	-122.266438
340	Harmon St at Adeline St	Berkeley	37.849735	-122.270582
341	Fountain Alley at S 2nd St	San Jose	37.3361883	-121.8892765
343	Bryant St at 2nd St	SF	37.78317199	-122.393572
344	16th St Depot	SF	37.766349	-122.396289
345	Hubbell St at 16th St	SF	37.76647422	-122.3982954
349	Howard St at Mary St	SF	37.78100972	-122.4056661
350	8th St at Brannan St	SF	37.77143136	-122.4057868
355	23rd St at Tennessee St	SF	37.75536713	-122.388795
356	Valencia St at Clinton Park	SF	37.76918818	-122.4222851
